scenario,scenario_name,system,detect_time_s,predict_failure_time_s,predict_lead_time_s,localization_error_cells,false_alarms,true_alarms,rul_error_mean_abs_s,final_damage_mean,final_damage_max,damage_prevented_pct,reaction_latency_s,wallclock_per_step_ms,total_wallclock_s,cracked_cells_final
A,Scenario A: Localized Thermal Fault,Optical Skin + BHS,16.200000000000166,92.1999999999969,62.45000000000401,1.888042513144907,0,175,895.6796578112729,0.08707318925820565,0.9271225778196168,41.63170091437888,6.600000000000094,3.2545928160349527,11.71653413772583,37
A,Scenario A: Localized Thermal Fault,Traditional Point-Sensor,170.3000000000056,,0.0,6.0,0,1,,0.1491665276964249,0.9311230033814758,0.008296740686813098,0.0,0.39850261476304794,1.4346094131469727,81
B,Scenario B: Crack Initiation and Propagation,Optical Skin + BHS,0.3999999999999959,3.149999999999997,20.0000000000002,7.937163409772623,0,97,4.922703502072126,0.5807624051747976,0.922883305438768,2.721284174438443,0.0,3.2989346186319985,9.896803855895996,541
B,Scenario B: Crack Initiation and Propagation,Traditional Point-Sensor,,,,,0,0,,0.5970087086842412,0.9245808676102094,0.0,,0.4776124954223633,1.4328374862670898,613
C,Scenario C: Mechanical Overload,Optical Skin + BHS,0.4999999999999858,8.299999999999983,111.69999999999534,1.2130391227866313,0,1,,0.03586042524115205,0.2562308257982789,56.27763953990469,0.0,3.157089948654175,7.5770158767700195,0
C,Scenario C: Mechanical Overload,Traditional Point-Sensor,,,,,0,0,,0.0820185023493443,0.9235367149772252,0.0,,0.3728012243906657,0.8947229385375977,1
D,Scenario D: Combined Heat + Vibration + Stress Failure,Optical Skin + BHS,4.849999999999991,67.14999999999833,42.54999999999758,1.759243390730981,0,205,769.7721382052509,0.22378203914910302,0.9302117296446745,24.75054904042348,0.0,3.2662382546593163,11.105210065841675,141
D,Scenario D: Combined Heat + Vibration + Stress Failure,Traditional Point-Sensor,,,,,0,0,,0.29738693943337496,0.9291330447629048,0.0,,0.5140849422006046,1.7478888034820557,217
